Year,rice_area_kharif,rice_yield_kharif,rice_area_rabi,rice_yield_rabi,cereals_area_kharif,cereals_yield_kharif,cereals_area_rabi,cereals_yield_rabi,grain_area_kharif,grain_yield_kharif,grain_area_rabi,grain_yield_rabi,intensity,rain_kharif,rain_rabi,Mean_Temp_Kharif,Mean_Temp_Rabi,calamity_severity
2012.0,43.6,1606.0,0.54,2365.0,63.6,1587.0,0.88,2057.0,75.82,1428.0,16.08,467.0,188.0,261.16,35.42,32.51,30.49,4.0
2013.0,45.72,1542.0,0.34,2586.0,65.59,1656.0,0.58,2241.0,77.22,1494.0,15.78,464.0,176.0,311.2,6.76,31.97,30.37,9.0
2014.0,45.38,1847.0,0.38,2503.0,11.97,602.0,11.3,407.0,77.33,1671.0,11.82,491.0,159.0,283.18,7.62,32.8,30.02,8.5
2015.0,30.08,853.0,0.19,2064.0,48.92,1285.0,0.26,2038.0,62.49,1125.0,13.31,434.0,142.0,172.82,20.0,32.8,30.02,5.5
2016.0,40.41,1788.0,0.36,2356.0,61.01,1929.0,0.48,2313.0,72.75,1712.0,13.25,13.25,149.0,220.54,15.66,32.71,31.47,5.0
2017.0,30.0,1558.0,0.12,2220.0,48.85,91.73,0.35,2771.0,60.89,1624.0,13.55,556.0,154.0,220.84,12.82,32.92,31.11,5.5
2018.0,38.12,1960.0,0.1,2105.0,61.04,130.4,0.32,2500.0,72.73,1890.0,15.11,508.0,153.0,319.38,12.32,32.66,31.24,7.5
2019.0,39.64,1826.0,0.1,2200.0,59.52,2020.0,0.39,2026.0,71.39,1778.0,14.04,507.0,160.0,302.1,14.78,32.51,30.46,9.5
