Year,rice_area_kharif,rice_yield_kharif,rice_area_rabi,rice_yield_rabi,cereals_area_kharif,cereals_yield_kharif,cereals_area_rabi,cereals_yield_rabi,grain_area_kharif,grain_yield_kharif,grain_area_rabi,grain_yield_rabi,intensity,rain_kharif,rain_rabi,Mean_Temp_Kharif,Mean_Temp_Rabi,calamity_severity
2010.0,99.71,1847.0,5.08,2057.0,110.62,1784.0,5.87,2007.0,168.29,1284.0,47.14,621.0,163.0,202.56,10.96,31.52,30.02,6.5
2012.0,94.9,2083.0,3.1,2632.0,107.17,1987.0,3.9,2521.0,165.52,1466.0,42.2,618.0,146.0,172.28,9.76,31.1,30.14,4.0
2013.0,99.69,1964.0,5.07,2847.0,113.44,1906.0,5.86,2761.0,172.87,1419.0,50.29,725.0,156.0,281.36,3.78,30.49,29.7,9.0
2014.0,89.06,2101.0,2.96,2744.0,61.36,484.0,44.38,459.0,164.35,1441.0,48.02,627.0,147.0,279.82,7.6,31.71,29.47,8.5
2015.0,86.89,698.0,6.02,3010.0,97.01,765.0,6.35,2975.0,164.18,648.0,43.85,820.0,147.0,219.32,1.3,31.71,29.47,5.5
2016.0,93.72,1406.0,3.87,2709.0,104.28,1410.0,4.32,2734.0,167.18,1057.0,49.77,49.77,146.0,209.16,8.44,31.45,30.87,5.0
2017.0,86.82,623.0,2.42,2621.0,99.84,75.05,2.55,2620.0,166.69,657.0,52.93,610.0,145.0,201.84,0.16,31.47,30.45,5.5
2018.0,88.94,1473.0,3.06,2701.0,102.78,153.42,3.22,2702.0,162.12,1153.0,41.19,683.0,136.0,205.32,15.1,31.34,30.56,7.5
2019.0,85.23,2121.0,8.73,3230.0,100.47,2019.0,9.05,3212.0,150.07,1525.0,89.42,739.0,165.0,222.04,5.38,31.26,29.82,9.5
